,file_sizes
926,23506
927,52793
928,11535
929,14753
930,27634
931,93906
932,64062
933,56501
934,14184
935,95666
936,11357
937,47322
938,21816
939,39264
940,16855
941,17823
942,30685
943,16393
944,377974
945,43200
946,11955
947,29034
948,29971
949,165633
950,10801
951,24062
952,51682
953,14779
954,20580
955,10658
956,24507
957,13724
958,1798694
959,453202
960,159988
961,359587
962,12975
963,10447
964,12899
965,11838
966,10810
967,14501
968,15643
969,16786
970,19090
971,10142
972,16132
973,14244
974,23356
975,22121
976,12863
977,12426
978,14502
979,131514
980,10532
981,132424
982,119515
983,127295
984,161400
985,12672
986,138008
987,10462
988,14331
989,11171
990,11523
991,14500
992,13483
993,13388
994,17805
995,17602
996,14216
997,18897
998,18813
999,24688
1000,14381
1001,12997
1002,18158
1003,15366
1004,17074
1005,18192
1006,17542
1007,17535
1008,14869
1009,16642
1010,18803
1011,17823
1012,11128
1013,15267
1014,11399
1015,12615
1016,17715
1017,16971
1018,10641
1019,10462
1020,19136
1021,14422
1022,16325
1023,18182
1024,12172
1025,22843
1026,10252
1027,11553
1028,19685
1029,19616
1030,16647
1031,13578
1032,10462
1033,15857
1034,12814
1035,10772
1036,19766
1037,17461
1038,12306
1039,15855
1040,34383
1041,13391
1042,10453
1043,16870
1044,21652
1045,11822
1046,26976
1047,22868
1048,26833
1049,23358
1050,12844
1051,26286
1052,17802
1053,22502
1054,17807
1055,13995
1056,13978
1057,13971
1058,64261
1059,10462
1060,11038
1061,19661
1062,14543
1063,19785
1064,22188
1065,15252
1066,14953
1067,26661
1068,12414
1069,12607
1070,12292
1071,12562
1072,11038
1073,14712
1074,13470
1075,15582
1076,26833
1077,14260
1078,14946
1079,14600
1080,13474
1081,13448
1082,14217
1083,13654
1084,4028765
1085,10639
1086,10619
1087,10629
1088,10747
1089,10662
1090,10627
1091,10618
1092,10569
1093,19328
1094,19330
1095,19361
1096,19368
1097,10143
1098,12322
1099,12507
1100,12205
1101,12195
1102,12256
1103,12213
1104,12792
1105,13375
1106,12130
1107,13274
1108,12604
1109,13445
1110,12075
1111,13322
1112,10307
1113,10296
1114,21559
1115,19184
1116,25227
1117,28983
1118,15465
1119,13961
1120,90235
1121,11511
1122,13743
1123,125222
1124,13095
1125,12536
1126,18037
1127,11155
1128,11798
1129,18065
1130,14199
1131,19620
1132,29619
1133,24194
1134,22895
1135,16585
1136,16455
1137,19610
1138,28069
1139,15162
1140,38342
1141,34396
1142,12292
1143,32625
1144,40220
1145,32625
1146,40220
1147,11883
1148,11874
1149,17530
1150,17530
1151,21478
1152,16762
1153,29965
1154,93489
1155,25549
1156,27388
1157,30724
1158,1959743
1159,43008
1160,210613
1161,113119
1162,167055
1163,246103
1164,101438
1165,1514391
1166,820914
1167,190804584
1168,4586528
1169,40345654
1170,536374
1171,88576
1172,138178
1173,202010
1174,809270
1175,25600
1176,23469
1177,3860005
1178,4441778
1179,1422505
1180,24576
1181,150524
1182,1018448
1183,739288
1184,41472
1185,20480
1186,24576
1187,56565
1188,438431
1189,9570462
1190,646765
1191,787596
1192,20480
1193,19229
1194,145157
1195,20622
1196,100913
1197,112128
1198,159195
1199,103992
1200,3492748
1201,4845485
1202,59392
1203,8831688
1204,51635
1205,41812
1206,50262
1207,490471
1208,42496
1209,23142
1210,52224
1211,2915467
1212,27136
1213,38834
1214,174290
1215,2677751
1216,16988
1217,25761
1218,34482
1219,40688
1220,10752
1221,20480
1222,137856
1223,1406525
1224,135911
1225,189390834
1226,7392132
1227,57060
1228,16058915
1229,704673
1230,983816
1231,882541
1232,10240
1233,10727
1234,36680
1235,43714
1236,12163
1237,178688
1238,12707
1239,11791
1240,28643
1241,37705
1242,42843
1243,109056
1244,667648
1245,5074944
1246,19721
1247,11456
1248,3420160
1249,20480
1250,28712
1251,10597
1252,10468
1253,6092660
1254,6371651
1255,6284206
1256,6377316
1257,6465985
1258,5744059
1259,5826574
1260,5710767
1261,5735480
1262,5809949
1263,5851452
1264,5635319
1265,5535063
1266,5551491
1267,5565673
1268,10502916
1269,18082112
1270,206807
1271,20216
1272,57856
1273,85885
1274,23552
1275,942893
1276,26924
1277,2204500
1278,22320000
1279,592493
1280,59604
1281,46589
1282,45203
1283,44652
1284,159593
1285,53618
1286,97745
1287,43783
1288,25193
1289,34106
1290,15364
1291,1187409
1292,149905
1293,15987
1294,110279
1295,15987
1296,15120
1297,1675454
1298,96127
1299,495152
1300,216419
1301,186205
1302,99026
1303,65518
1304,575663
1305,546894
1306,27704259
1307,1156419
1308,153807
1309,48640
1310,12292
1311,1919647
1312,12878
1313,1647497
1314,3967352
1315,7271194
1316,133216
1317,124498
1318,113739
1319,157609
1320,146927
1321,301388
1322,90937
1323,458063
1324,13897305
1325,1275859
1326,23432
1327,258787
1328,36664
1329,8933540
1330,83896430
1331,171166
1332,50572
1333,257958
1334,27505
1335,241558
1336,13905
1337,1078935
1338,168960
1339,25670
1340,181558
1341,144899
1342,1939510
1343,484850
1344,29401
1345,146224
1346,21769
1347,145011
1348,877622
1349,438828
1350,1720374
1351,215069
1352,1732662
1353,1724470
1354,1667126
1355,1720364
1356,484850
1357,727012
1358,363528
1359,2908214
1360,2908214
1361,1359926
1362,316972
1363,1184158
1364,196652
1365,200192
1366,24910
1367,1165297
1368,1879935
1369,321361
1370,1734253
1371,191858
1372,1996266
1373,195219
1374,1505987
1375,152271
1376,2091322
1377,276093
1378,1555133
1379,97218
1380,102903
1381,100083
1382,310097
1383,147641
1384,245503
1385,60276
1386,12292
1387,48884
1388,1059028
1389,39964
1390,5868738
1391,378780
1392,5334768
1393,308964
1394,16193192
1395,277487
1396,268789
1397,9874584
1398,354708
1399,4855492
1400,285268
1401,3243511
1402,2715338
1403,11262465
1404,20323
1405,16981
1406,19559
1407,31057
1408,27977
1409,33905
1410,27587
1411,26969
1412,27611
1413,27032
1414,27770
1415,65932
1416,58716
1417,28416
1418,55871
1419,12707
1420,21644
1421,114686
1422,107032
1423,105829
1424,106975
1425,17816
1426,208370
1427,46334
1428,52082
1429,52156
1430,49101
1431,55034
1432,12292
1433,146390
1434,100980
1435,12292
1436,23376
1437,40837
1438,80925
1439,14988
1440,64497
1441,23627
1442,10830
1443,196409
1444,73397
1445,52534
1446,82190
1447,260066
1448,58798
1449,65670
1450,51152
1451,68126
1452,19714
1453,40837
1454,80925
1455,16045
1456,48033
1457,313674
1458,16176
1459,16628
1460,26370595
1461,884127
1462,4009002
1463,38476612
1464,1141357
1465,1128369
1466,25824851
1467,984018
1468,2214181
1469,733831
1470,132952
1471,67688
1472,1650093
