time,angle
8.914,28.828
8.928,28.828
8.942,28.828
8.957,28.828
8.972,28.828
8.986,28.828
9.001,28.652
9.015,28.477
9.030,28.125
9.045,27.598
9.059,26.895
9.073,24.609
9.088,23.730
9.103,23.555
9.117,23.203
9.132,21.797
9.146,19.512
9.160,18.281
9.176,18.105
9.190,17.754
9.204,15.117
9.219,12.656
9.234,11.602
9.248,11.426
9.263,10.371
9.277,4.043
9.290,4.746
9.305,2.461
9.318,1.582
9.331,0.879
9.345,0.176
9.358,-4.043
9.373,-5.449
9.388,-5.625
9.402,-5.977
9.416,-10.020
9.433,-11.074
9.448,-11.426
9.463,-12.305
9.479,-16.699
9.495,-17.227
9.511,-17.754
9.526,-19.863
9.541,-22.324
9.557,-22.500
9.573,-25.312
9.588,-25.488
9.604,-26.895
9.619,-27.949
9.635,-28.477
9.651,-29.531
9.666,-30.234
9.682,-30.586
9.698,-31.289
9.713,-31.816
9.729,-32.168
9.744,-32.871
9.759,-32.871
9.776,-33.047
9.791,-33.047
9.807,-33.047
9.822,-33.047
9.838,-32.871
9.854,-32.871
9.869,-32.695
9.884,-31.992
9.901,-31.289
9.916,-30.410
9.931,-29.883
9.947,-28.301
9.963,-27.773
9.979,-27.070
9.994,-25.312
10.009,-24.785
10.026,-21.621
10.043,-21.621
10.059,-20.918
10.076,-15.820
10.092,-16.172
10.110,-15.645
10.126,-13.008
10.142,-10.371
10.159,-10.020
10.176,-9.316
10.192,-4.570
10.207,-3.691
10.222,-3.340
10.239,-2.109
10.254,2.637
10.268,4.043
10.283,6.504
10.298,6.680
10.312,7.031
10.327,8.086
10.341,12.129
10.356,13.184
10.373,13.535
10.388,14.238
10.403,19.160
10.419,18.633
10.435,18.809
10.451,19.160
10.466,22.676
10.481,24.082
10.498,24.082
10.513,24.258
10.528,24.434
10.544,25.312
10.560,28.477
10.576,28.477
10.591,28.477
10.606,28.652
10.622,28.652
10.638,28.652
10.653,28.652
10.669,28.652
10.684,28.652
10.700,28.652
10.716,28.652
10.731,28.477
10.747,28.301
10.763,28.125
10.778,27.773
10.794,27.070
10.809,24.434
10.824,23.730
10.841,23.730
10.856,23.203
10.871,21.797
10.887,18.281
10.903,18.281
10.919,17.930
10.934,17.578
10.949,11.953
10.966,11.426
10.981,11.426
10.996,10.898
11.012,5.625
11.027,5.449
11.041,2.988
11.056,1.758
11.070,0.879
11.084,0.176
11.100,-5.273
