time,angle
9.311,-5.625
9.325,-6.504
9.340,-7.031
9.355,-7.031
9.369,-7.207
9.384,-7.207
9.398,-7.207
9.412,-7.207
9.428,-7.383
9.442,-7.383
9.457,-7.383
9.471,-7.383
9.486,-7.383
9.501,-7.383
9.515,-7.383
9.529,-7.383
9.544,-7.383
9.559,-7.383
9.573,-7.383
9.588,-7.383
9.602,-7.383
9.617,-7.383
9.632,-7.383
9.646,-7.383
9.660,-7.383
9.675,-7.207
9.690,-7.207
9.704,-7.207
9.719,-7.207
9.733,-7.031
9.748,-6.855
9.763,-6.680
9.777,-6.152
9.791,-5.273
9.806,-5.098
9.821,-4.922
9.835,-4.922
9.850,-4.570
9.864,-3.516
9.878,-2.988
9.894,-2.285
9.908,-0.527
9.922,-0.527
9.937,-0.352
9.952,-0.352
9.966,-0.176
9.981,-0.176
9.995,0.000
10.008,0.176
10.024,0.527
10.038,5.273
10.052,4.746
10.067,4.746
10.082,4.922
10.097,4.922
10.111,5.098
10.125,5.273
10.140,5.625
10.155,6.152
10.169,6.328
10.184,6.680
10.198,7.031
10.213,7.734
10.228,9.492
10.242,9.668
10.256,9.668
10.271,9.668
10.286,9.668
10.300,9.668
10.315,9.668
10.329,9.668
10.343,9.668
10.359,9.668
10.373,9.668
10.387,9.668
10.402,9.668
10.417,9.668
10.431,9.668
10.446,9.668
10.460,9.668
10.474,9.668
10.490,9.668
10.504,9.668
10.518,9.668
10.533,9.668
10.548,9.492
10.562,9.492
10.577,9.316
10.591,9.141
10.605,8.613
10.621,6.680
10.635,6.152
10.649,5.977
10.664,5.625
10.679,5.098
10.693,4.746
10.708,4.746
10.722,4.570
10.737,4.395
10.752,4.219
10.766,3.691
10.781,2.637
10.795,0.879
10.809,-0.176
10.826,-0.176
10.841,-0.352
10.856,-0.352
10.872,-0.527
10.888,-0.703
10.903,-1.582
10.919,-3.516
10.934,-3.691
10.951,-3.867
10.966,-4.219
10.981,-4.922
10.997,-5.098
11.013,-5.273
11.028,-5.449
11.044,-5.801
11.059,-7.031
11.074,-7.207
11.091,-7.207
11.106,-7.207
11.122,-7.207
11.137,-7.207
11.153,-7.383
11.169,-7.383
11.184,-7.383
11.199,-7.383
11.216,-7.383
11.231,-7.383
11.246,-7.383
11.262,-7.383
11.278,-7.383
11.294,-7.383
11.309,-7.383
11.324,-7.383
11.340,-7.383
11.356,-7.383
11.371,-7.383
11.387,-7.383
11.402,-7.207
11.418,-7.207
11.434,-7.207
11.449,-7.031
11.465,-6.855
11.481,-6.504
11.496,-5.273
11.512,-5.098
11.527,-5.098
11.542,-4.922
11.559,-4.570
11.574,-3.516
11.589,-2.988
11.605,-2.461
11.621,-0.352
11.637,-0.352
11.652,-0.176
11.667,-0.176
11.684,-0.176
11.699,0.000
11.713,0.176
11.728,0.352
11.742,4.395
11.757,4.746
11.772,4.746
11.786,4.922
11.800,4.922
11.816,5.098
11.830,5.273
11.844,5.625
11.859,5.977
11.873,6.152
11.889,6.504
11.903,6.680
11.917,7.383
11.932,9.316
11.947,9.668
11.961,9.668
11.976,9.668
11.990,9.668
12.004,9.668
12.020,9.668
12.034,9.668
12.048,9.668
12.063,9.668
12.078,9.668
12.092,9.668
12.107,9.668
12.121,9.668
12.135,9.668
12.151,9.668
12.165,9.668
12.179,9.668
12.194,9.668
12.208,9.668
12.223,9.668
12.238,9.668
12.252,9.668
12.266,9.492
12.282,9.492
12.296,9.316
12.310,8.965
12.325,8.086
12.339,6.152
12.354,6.152
12.369,5.977
12.383,5.449
12.397,4.922
12.413,4.746
12.427,4.570
12.441,4.570
12.456,4.219
12.470,3.867
12.485,2.988
12.500,1.230
12.514,-0.176
12.530,-0.176
12.546,-0.176
12.561,-0.352
12.577,-0.352
12.592,-0.527
12.607,-0.703
12.624,-1.758
12.639,-4.043
12.654,-4.219
12.670,-4.395
12.686,-4.746
12.702,-4.922
12.717,-5.098
12.732,-5.273
12.749,-5.449
12.764,-5.977
12.779,-7.207
12.795,-7.207
12.811,-7.207
12.826,-7.383
12.842,-7.383
12.857,-7.383
12.873,-7.383
12.889,-7.383
12.904,-7.383
12.920,-7.383
12.935,-7.383
12.951,-7.383
12.967,-7.383
12.982,-7.383
12.997,-7.383
13.014,-7.383
13.029,-7.383
13.045,-7.383
13.060,-7.383
13.076,-7.383
13.092,-7.383
13.107,-7.383
13.122,-7.207
13.138,-7.207
13.154,-7.031
13.170,-6.855
13.185,-5.977
13.200,-5.273
13.217,-5.098
13.232,-4.922
13.247,-4.746
13.263,-4.570
13.279,-4.043
13.294,-3.164
13.310,-2.285
13.325,-0.527
13.342,-0.352
13.357,-0.352
13.372,-0.176
13.388,-0.176
13.403,0.000
13.418,0.176
13.433,0.527
13.447,4.395
13.461,4.570
13.477,4.570
13.491,4.570
13.505,4.746
13.520,4.746
13.534,4.922
13.549,5.449
13.564,5.977
13.578,6.328
13.592,6.504
13.608,6.855
13.622,7.383
13.636,9.316
13.651,9.668
13.665,9.668
13.681,9.668
13.695,9.668
13.709,9.668
13.724,9.668
13.738,9.668
13.753,9.668
13.768,9.668
13.782,9.668
13.796,9.668
13.812,9.668
13.826,9.668
13.840,9.668
13.855,9.668
13.869,9.668
13.884,9.668
13.899,9.668
13.913,9.668
13.927,9.668
13.943,9.668
13.957,9.668
13.971,9.492
13.986,9.492
14.000,9.316
14.015,9.141
14.030,8.437
14.044,6.504
14.058,6.152
14.074,5.977
14.088,5.801
14.102,5.098
14.117,4.746
14.131,4.570
14.146,4.395
14.161,4.043
14.175,3.867
14.189,3.516
14.204,3.164
14.219,1.582
14.233,-0.352
14.249,-0.352
14.264,-0.352
14.281,-0.352
14.296,-0.527
14.311,-0.527
14.327,-0.879
14.343,-1.758
14.358,-4.395
14.374,-4.570
14.389,-4.570
14.404,-4.746
14.421,-4.922
14.436,-5.098
14.452,-5.273
14.467,-5.449
14.483,-6.680
14.499,-7.207
14.514,-7.207
14.529,-7.383
14.546,-7.383
14.561,-7.383
14.577,-7.383
14.592,-7.383
14.608,-7.383
14.624,-7.383
14.639,-7.383
14.654,-7.383
14.670,-7.383
14.686,-7.383
14.701,-7.383
14.717,-7.383
14.732,-7.383
14.749,-7.383
14.764,-7.383
14.779,-7.383
14.795,-7.383
14.811,-7.383
14.826,-7.207
14.842,-7.207
14.857,-7.031
14.873,-6.855
14.889,-6.152
14.904,-5.449
14.920,-5.273
14.935,-5.098
14.951,-4.922
14.967,-4.746
14.982,-4.219
14.997,-3.340
15.014,-2.812
15.029,-1.055
15.044,-0.527
15.060,-0.352
15.076,-0.352
15.092,-0.176
15.107,0.000
15.121,0.000
15.136,0.352
15.151,2.988
15.165,4.395
15.180,4.395
15.194,4.395
15.209,4.570
15.224,4.570
15.238,4.746
15.252,4.922
15.267,5.625
15.282,6.152
15.296,6.328
15.311,6.680
15.325,7.031
15.340,8.437
15.355,9.668
15.369,9.668
15.383,9.668
15.398,9.668
15.413,9.668
15.427,9.668
15.442,9.668
15.456,9.668
15.471,9.668
15.486,9.668
15.500,9.668
15.514,9.668
15.529,9.668
15.544,9.668
15.559,9.668
15.573,9.668
15.587,9.668
15.602,9.668
15.617,9.668
15.631,9.668
15.646,9.668
15.660,9.668
15.675,9.492
15.690,9.492
15.704,9.492
15.718,9.141
15.733,8.613
15.748,7.559
15.762,6.152
15.777,6.152
15.791,5.801
15.806,5.273
15.821,4.570
15.835,4.395
15.849,4.395
15.864,4.219
15.879,4.043
15.893,3.867
15.908,3.340
15.922,2.109
15.937,-0.176
15.953,-0.352
15.968,-0.352
15.983,-0.352
15.999,-0.527
16.015,-0.527
16.031,-0.879
16.046,-2.637
16.061,-3.867
16.078,-3.867
16.093,-4.219
16.108,-4.922
16.124,-5.098
16.140,-5.273
16.156,-5.449
16.171,-5.625
16.186,-6.680
16.202,-7.207
16.218,-7.207
16.233,-7.207
16.249,-7.383
16.264,-7.383
16.280,-7.383
16.296,-7.383
16.311,-7.383
16.327,-7.383
16.343,-7.383
16.358,-7.383
16.374,-7.383
16.389,-7.383
16.405,-7.383
16.421,-7.383
16.436,-7.383
16.451,-7.383
16.467,-7.383
16.483,-7.383
16.499,-7.383
16.514,-7.383
16.529,-7.207
16.546,-7.207
16.561,-7.207
16.576,-7.031
16.592,-6.680
16.608,-6.152
16.623,-5.449
16.639,-5.273
16.654,-5.098
16.671,-4.570
16.686,-3.691
16.701,-3.516
16.717,-2.988
16.732,-2.109
16.748,-0.352
16.764,-0.352
16.779,-0.352
16.794,-0.176
16.811,-0.176
16.826,0.000
16.841,0.176
16.855,1.758
16.870,4.043
16.885,4.219
16.899,4.219
16.913,4.395
16.928,4.570
16.943,4.746
16.957,5.273
16.972,5.977
16.986,6.152
17.000,6.328
17.016,6.504
17.030,6.680
17.044,7.383
17.059,9.668
17.074,9.668
17.088,9.668
17.103,9.668
17.117,9.668
17.131,9.668
17.147,9.668
17.161,9.668
17.175,9.668
17.190,9.668
17.205,9.668
17.219,9.668
17.234,9.668
17.248,9.668
17.262,9.668
17.278,9.668
17.292,9.668
17.306,9.668
17.321,9.668
17.336,9.668
17.351,9.668
17.365,9.668
17.379,9.668
17.394,9.492
17.409,9.492
17.423,9.316
17.438,8.965
17.452,8.086
17.466,5.977
17.482,5.977
17.496,5.801
17.510,5.449
17.525,4.746
17.540,4.570
17.554,4.395
17.569,4.219
17.583,3.867
17.597,3.516
17.613,2.812
17.627,1.406
17.641,-0.176
17.657,-0.176
17.673,-0.176
17.688,-0.352
17.704,-0.352
17.719,-0.527
17.736,-0.879
17.751,-2.988
17.766,-3.691
17.782,-3.867
17.797,-4.043
17.813,-4.219
17.829,-5.098
17.844,-5.273
17.859,-5.449
17.876,-5.625
17.891,-6.152
17.907,-7.207
17.922,-7.207
17.938,-7.207
17.954,-7.207
17.969,-7.383
17.984,-7.383
18.001,-7.383
18.016,-7.383
18.031,-7.383
18.047,-7.383
18.062,-7.383
18.079,-7.383
18.094,-7.383
18.109,-7.383
18.125,-7.383
18.141,-7.383
18.156,-7.383
18.172,-7.383
18.187,-7.383
18.204,-7.383
18.219,-7.207
18.234,-7.207
18.250,-7.207
18.265,-7.207
18.281,-7.031
18.297,-6.855
18.312,-6.152
18.327,-5.449
18.344,-5.273
18.359,-5.098
18.375,-4.746
18.390,-3.867
18.406,-3.516
